"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/01/2024","42.851,3","42.836,7","43.248,6","42.443,3","48,18K","0,04%"
"12/01/2024","42.835,9","46.348,1","46.503,2","41.857,9","136,92K","-7,58%"
"11/01/2024","46.348,2","46.629,3","48.923,7","45.651,8","131,04K","-0,60%"
"10/01/2024","46.629,3","46.112,0","47.654,3","44.403,6","131,48K","1,08%"
"09/01/2024","46.129,0","46.959,2","47.880,1","45.333,9","100,09K","-1,77%"
"08/01/2024","46.962,2","43.934,2","47.196,7","43.251,0","103,09K","6,91%"
"07/01/2024","43.927,3","43.973,5","44.481,2","43.627,9","29,53K","-0,09%"
"06/01/2024","43.967,9","44.156,6","44.203,2","43.424,0","24,26K","-0,43%"
"05/01/2024","44.156,9","44.163,0","44.312,1","42.629,0","68,07K","0,00%"
"04/01/2024","44.157,0","42.836,1","44.744,5","42.632,8","68,05K","3,08%"
"03/01/2024","42.836,1","44.943,7","45.492,7","40.888,3","117,65K","-4,69%"
"02/01/2024","44.943,7","44.182,9","45.885,4","44.166,0","97,84K","1,72%"
"01/01/2024","44.183,4","42.272,5","44.187,0","42.196,7","36,30K","4,52%"
